"sfid","nfid","zm"
419,"Q-08-752","qro"
420,"Q-09-559","qro"
421,"Q-08-521","qro"
422,"L-10-331","len"
423,"L-00-394","len"
424,"Q-08-942","qro"
425,"Q-03-217","qro"
426,"Q-10-680","qro"
427,"L-02-166","len"
428,"Q-09-065","qro"
429,"L-09-187","len"
430,"Q-04-036","qro"
431,"Q-04-866","qro"
432,"Q-07-321","qro"
433,"L-01-215","len"
434,"Q-07-149","qro"
435,"L-03-178","len"
436,"L-07-784","len"
437,"Q-02-875","qro"
438,"Q-08-750","qro"
439,"L-10-049","len"
440,"L-02-286","len"
441,"Q-04-539","qro"
442,"Q-09-111","qro"
443,"Q-05-918","qro"
444,"Q-03-689","qro"
445,"L-02-877","len"
446,"Q-06-877","qro"
447,"L-09-592","len"
448,"L-07-062","len"
449,"L-05-611","len"
450,"Q-11-083","qro"
451,"L-04-456","len"
452,"L-02-229","len"
453,"Q-02-597","qro"
454,"L-06-659","len"
455,"L-04-717","len"
456,"Q-01-414","qro"
457,"L-05-290","len"
458,"Q-02-853","qro"
459,"L-00-951","len"
460,"L-05-054","len"
461,"L-01-785","len"
462,"Q-01-589","qro"
463,"L-04-950","len"
464,"L-00-461","len"
465,"Q-00-865","qro"
466,"L-08-542","len"
467,"Q-01-075","qro"
468,"L-00-781","len"
469,"L-06-288","len"
470,"Q-03-298","qro"
471,"L-06-509","len"
472,"Q-06-794","qro"
473,"Q-04-484","qro"
474,"Q-07-091","qro"
475,"L-10-405","len"
476,"Q-00-560","qro"
477,"L-07-184","len"
478,"L-07-451","len"
479,"L-08-352","len"
480,"L-08-586","len"
481,"Q-08-189","qro"
482,"L-08-460","len"
483,"Q-10-263","qro"
484,"Q-08-123","qro"
485,"Q-09-482","qro"
486,"L-05-490","len"
487,"L-03-441","len"
488,"Q-05-623","qro"
489,"Q-00-966","qro"
490,"Q-09-905","qro"
491,"Q-10-922","qro"
492,"L-05-505","len"
493,"L-08-180","len"
494,"Q-02-975","qro"
495,"L-10-008","len"
496,"Q-00-212","qro"
497,"Q-09-291","qro"
498,"L-02-181","len"
