sfid,nfid,zm,tipo 1,tipo2,descripcion ,observa,valida
208,L-08-515,len,privado,jardin residencial,rural,,
209,L-02-615,len,privado,equipamiento urbano,canal,,
210,Q-08-895,qro,privado,jardin institucional,industrial,,
211,L-02-983,len,privado,parque,residencial,,
212,Q-02-215,qro,publico,equipamiento urbano,,,
213,L-02-130,len,publico,parque,,parte de la presa Palote,
214,L-08-911,len,privado,jardin residencial,rural,,
215,Q-02-111,qro,privado,jardin institucional,industrial,parque industrial,
216,Q-09-293,qro,privado,baldio/zona de reserva,,terreno en venta,
217,L-09-002,len,privado,jardin residencial,,la capa de mezcla con un baldio,
218,Q-10-309,qro,privado,equipamiento urbano,canal,canal de riego,
219,L-10-095,len,privado,jardin residencial,rural,,
220,Q-00-784,qro,privado,parque,residencial,,
221,Q-04-524,qro,privado,jardin institucional,industrial,,
222,Q-02-421,qro,privado,agricola/cultivo,,valla de árboles,
223,Q-02-911,qro,privado,jardin residencial,campestre,,
224,Q-02-431,qro,privado,baldio/zona de reserva,,,
225,L-09-147,len,privado,jardin residencial,,,
226,Q-10-344,qro,privado,jardin residencial,rural,,
227,Q-03-141,qro,privado,jardin residencial,rural,,
228,Q-06-446,qro,privado,jardin institucional,escuela,,
229,L-07-521,len,privado,jardin residencial,rural,,
230,L-03-751,len,privado,agricola/cultivo,,,
231,Q-09-001,qro,privado,baldio/zona de reserva,,,
232,Q-08-537,qro,privado,jardin residencial,rural,,
233,L-03-605,len,privado,jardin institucional,,centro de atención adicciones,
234,Q-00-277,qro,privado,baldio/zona de reserva,,,
235,Q-08-456,qro,privado,jardin institucional,escuela,,
236,Q-02-757,qro,privado,jardin institucional,escuela,,
237,Q-10-945,qro,privado,baldio/zona de reserva,,,
238,L-01-571,len,privado,agricola/cultivo,,valla de árboles,
239,L-06-803,len,privado,jardin institucional,escuela,,
240,L-10-160,len,privado,jardin residencial,rural,,
241,L-03-013,len,privado,jardin institucional,,posible salón de fiestas y área adminstrativa del fraccionamiento,
242,Q-09-790,qro,privado,deportivo,escuela,,
243,Q-07-477,qro,privado,jardin institucional,escuela,,
244,Q-02-246,qro,privado,equipamiento urbano,residencial,,
245,L-07-131,len,privado,jardin residencial,campestre,,
246,L-10-053,len,privado,baldio/zona de reserva,,,
247,L-08-552,len,privado,jardin residencial,rural,,
248,L-04-915,len,privado,jardin institucional,industrial,,
249,Q-10-542,qro,privado,jardin residencial,rural,,
250,L-00-171,len,publico,equipamiento urbano,,,
251,Q-08-815,qro,,,escuela,panel solar,
252,Q-06-005,qro,privado,jardin institucional,comercial,granja vacas,
253,L-04-124,len,privado,jardin institucional,comercial,yonke,
254,Q-08-158,qro,publico,parque,centro cultural,Centro GTO contigo,
255,Q-09-089,qro,privado,jardin institucional,comercial,patio de servicio/maquinaria agricola,
256,Q-03-530,qro,,,comercial,hotel - panel solar,
257,L-02-680,len,privado,parque,residencial,,
258,Q-07-207,qro,privado,parque,residencial,,
259,L-06-528,len,privado,agricola/cultivo,,valla de árboles,
260,L-07-225,len,privado,baldio/zona de reserva,residencial,,
261,L-07-114,len,privado,jardin residencial,campestre,,
262,Q-07-962,qro,privado,baldio/zona de reserva,residencial,,
263,L-09-460,len,privado,jardin institucional,club de golf,,
264,Q-01-611,qro,privado,equipamiento urbano,residencial,,
265,L-03-900,len,privado,jardin institucional,escuela,,
266,L-04-307,len,privado,jardin residencial,residencial,,
267,Q-02-504,qro,privado,baldio/zona de reserva,,,
268,L-09-916,len,privado,baldio/zona de reserva,,,
269,L-09-194,len,privado,baldio/zona de reserva,,,
270,Q-07-592,qro,privado,baldio/zona de reserva,,,
271,Q-10-126,qro,privado,jardin residencial,rural,,
272,L-09-607,len,privado,jardin residencial,rural,,
273,L-09-528,len,privado,jardin residencial,rural,,
274,Q-00-402,qro,privado,baldio/zona de reserva,,,
275,L-05-948,len,privado,baldio/zona de reserva,,,
276,Q-10-250,qro,privado,jardin residencial,,,
277,L-05-933,len,privado,baldio/zona de reserva,rural,,
278,L-05-113,len,privado,jardin institucional,escuela,,
279,Q-06-010,qro,privado,jardin institucional,escuela,,
280,L-01-781,len,privado,jardin residencial,rural,,
281,Q-10-876,qro,privado,jardin residencial,campestre,,
282,L-10-167,len,privado,agricola/cultivo,,,
283,Q-00-764,qro,privado,baldio/zona de reserva,rural,,
284,Q-00-839,qro,privado,equipamiento urbano,,accesos a planta de tratamiento,
285,Q-09-204,qro,privado,jardin residencial,campestre,,
286,L-08-836,len,privado,jardin residencial,campestre,,
287,L-05-115,len,privado,jardin institucional,escuela,,
288,Q-05-190,qro,privado,jardin residencial,,,
289,Q-06-911,qro,privado,jardin residencial,rural,,
290,L-01-443,len,privado,agricola/cultivo,,valla de árboles,
291,Q-00-358,qro,privado,baldio/zona de reserva,,,
292,L-05-999,len,privado,baldio/zona de reserva,,,
293,Q-02-079,qro,privado,equipamiento urbano,residencial,,
294,L-07-739,len,privado,agricola/cultivo,,,
295,Q-09-130,qro,privado,jardin residencial,campestre,,
296,Q-09-492,qro,privado,jardin institucional,escuela,,
297,L-02-268,len,privado,agricola/cultivo,,valla de árboles,
298,L-01-442,len,privado,baldio/zona de reserva,arroyo,,
299,Q-09-054,qro,privado,baldio/zona de reserva,arroyo,,
300,L-02-943,len,privado,jardin residencial,rural,se mezcla con zona de agricola,
301,Q-09-831,qro,privado,jardin residencial,rural,,
302,Q-08-105,qro,privado,jardin institucional,industrial,,
303,Q-00-506,qro,privado,baldio/zona de reserva,,,
304,Q-00-534,qro,privado,baldio/zona de reserva,arroyo,,
305,L-02-726,len,privado,jardin residencial,rural,,
306,L-03-426,len,privado,jardin institucional,escuela,,
307,Q-11-135,qro,privado,jardin residencial,campestre,,
308,Q-02-618,qro,privado,baldio/zona de reserva,arroyo,,
309,Q-01-019,qro,privado,baldio/zona de reserva,,,
310,L-02-037,len,privado,baldio/zona de reserva,,,
311,Q-10-476,qro,privado,jardin residencial,campestre,,
312,L-03-826,len,privado,jardin institucional,industrial,,
313,Q-10-794,qro,privado,baldio/zona de reserva,,,
314,L-08-273,len,privado,baldio/zona de reserva,,,
315,Q-10-573,qro,privado,jardin residencial,campestre,,
316,Q-06-334,qro,privado,jardin residencial,popular,,
317,L-03-055,len,privado,jardin institucional,industrial,,
318,L-08-575,len,privado,agricola/cultivo,,,
319,Q-03-279,qro,privado,jardin residencial,rural,,
320,L-00-868,len,publico,equipamiento urbano,canal,,
321,L-05-587,len,privado,jardin residencial,campestre,,
322,Q-00-301,qro,privado,parque,residencial,,
323,Q-02-955,qro,privado,baldio/zona de reserva,rural,,
324,Q-04-561,qro,privado,jardin residencial,,,
325,Q-06-783,qro,privado,agricola/cultivo,,valla de árboles,
326,Q-08-426,qro,privado,baldio/zona de reserva,,,
327,Q-06-745,qro,privado,jardin residencial,rural,,
328,Q-00-646,qro,publico,equipamiento urbano,arbolado,,
329,Q-10-821,qro,privado,jardin institucional,escuela,,
330,L-08-773,len,privado,baldio/zona de reserva,rural,,
331,Q-06-324,qro,privado,jardin institucional,escuela,,
332,Q-00-196,qro,privado,baldio/zona de reserva,,,
333,L-06-055,len,privado,jardin institucional,industrial,,
334,Q-04-806,qro,privado,baldio/zona de reserva,rural,,
335,Q-10-149,qro,privado,jardin residencial,rural,,
336,L-06-871,len,privado,jardin residencial,campestre,,
337,Q-05-237,qro,privado,baldio/zona de reserva,,,
338,L-09-626,len,privado,jardin residencial,rural,,
339,Q-08-162,qro,privado,jardin residencial,,,
340,Q-03-636,qro,privado,jardin residencial,,se mezcla con baldio,
341,L-02-409,len,privado,jardin institucional,escuela,,
342,L-05-828,len,privado,agricola/cultivo,arroyo,,
343,Q-04-566,qro,privado,baldio/zona de reserva,,,
344,Q-09-580,qro,privado,jardin residencial,,se mezcla con baldio,
345,L-08-529,len,privado,jardin residencial,rural,,
346,Q-10-536,qro,privado,jardin residencial,rural,,
347,L-00-051,len,privado,parque,residencial,,
348,Q-09-785,qro,privado,jardin institucional,industrial,patio de servicio,
349,L-00-722,len,publico,equipamiento urbano,camellón,,
350,Q-07-939,qro,privado,jardin institucional,deportivo,IMSS clinica 13,
351,Q-05-779,qro,publico,parque,deportivo,cerrito colorado,
352,L-05-345,len,privado,baldio/zona de reserva,arroyo,,
353,Q-03-730,qro,privado,jardin residencial,,se mezcla con baldio,
354,L-06-640,len,privado,equipamiento urbano,campestre,,
355,Q-10-163,qro,privado,jardin residencial,campestre,,
356,Q-04-958,qro,privado,jardin residencial,,,
357,Q-04-332,qro,privado,baldio/zona de reserva,,,
358,L-04-494,len,privado,jardin residencial,,se mezcla con baldio,
359,Q-05-314,qro,privado,jardin residencial,popular,,
360,L-09-056,len,privado,jardin residencial,rural,,
361,Q-04-616,qro,privado,jardin residencial,rural,,
362,Q-11-051,qro,privado,jardin residencial,rural,,
363,Q-02-074,qro,privado,parque,residencial,,
364,L-07-017,len,privado,jardin residencial,rural,,
365,L-04-811,len,publico,parque,,,
366,L-00-135,len,publico,equipamiento urbano,camellón,,
367,Q-10-697,qro,privado,jardin residencial,rural,,
368,Q-06-418,qro,privado,jardin residencial,,,
369,Q-05-228,qro,privado,jardin residencial,rural,,
370,Q-07-756,qro,privado,jardin institucional,,CEAG,
371,Q-02-931,qro,privado,jardin residencial,rural,,
372,L-03-965,len,privado,baldio/zona de reserva,,,
373,Q-09-408,qro,privado,baldio/zona de reserva,,,
374,L-00-231,len,privado,equipamiento urbano,campestre,,
375,Q-03-192,qro,privado,jardin institucional,industrial,,
376,Q-05-084,qro,privado,jardin residencial,rural,,
377,Q-07-705,qro,privado,jardin residencial,,,
